 ,X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit,Track_ID,Particle_ID,Track_Length,Reverse_numbering
11010,66.28,205.88,833,4241.71,8.63,13176.56,8.61,0,0,109.91,6.10,133.25,1.56,119.89,7.58,119.55,7.56,0,2731.61,5.52,0.47,3,2458,53,87,35
11011,65.47,205.93,834,4189.89,7.35,13179.24,10.64,0,0,107.80,6.04,131.11,1.57,101.13,6.46,146.39,9.36,0,3129.12,4.93,0.46,4,2458,54,87,34
11012,65.86,205.58,836,4215.18,8.47,13157.30,9.62,0,0,101.09,5.44,131.36,1.52,121.50,7.48,137.99,8.49,0,2736.98,4.99,0.47,3,2458,55,87,33
11013,65.62,205.95,837,4199.49,11.49,13180.53,12.63,0,0,90.48,7.62,139.59,1.77,104.88,10.05,115.29,11.04,0,3115.30,4.16,0.29,4,2458,56,87,32
11014,65.95,205.69,838,4221.01,7.62,13164.05,7.35,0,0,97.98,4.83,129.77,1.20,119.11,6.69,114.80,6.45,0,2096.05,4.87,0.53,3,2458,57,87,31
11015,65.90,205.94,839,4217.63,7.04,13180.15,6.87,0,0,126.32,6.18,132.92,1.42,110.69,6.16,107.96,6.00,0,3965.62,6.59,0.54,3,2458,58,87,30
11016,65.82,205.37,840,4212.22,6.91,13143.64,8.57,0,0,113.91,6.09,135.36,1.42,99.40,6.04,123.32,7.50,0,2524.46,4.33,0.50,3,2458,59,87,29
11017,66.19,205.79,842,4236.15,9.53,13170.84,12.23,0,0,86.88,5.49,132.15,1.57,116.37,8.42,149.25,10.81,0,2500.57,4.06,0.39,3,2458,60,87,28
11018,66.30,205.97,844,4243.02,8.58,13181.88,6.67,0,0,122.88,6.73,134.22,1.50,120.48,7.49,93.55,5.82,0,2355.68,5.27,0.49,3,2458,61,87,27
11019,66.29,205.35,845,4242.75,8.57,13142.67,8.92,0,0,101.11,5.78,130.03,1.45,115.50,7.52,120.14,7.82,0,1676.16,4.22,0.46,3,2458,62,87,26
11020,65.75,205.97,846,4208.20,8.84,13181.91,9.12,0,0,99.99,6.46,135.26,1.45,105.11,7.72,108.48,7.97,0,2529.43,4.63,0.41,3,2458,63,87,25
11021,65.82,205.94,847,4212.35,6.73,13180.07,6.00,0,0,136.78,6.71,133.03,1.39,105.28,5.86,93.94,5.23,0,3043.70,6.65,0.55,3,2458,64,87,24
11022,65.97,205.38,848,4222.23,8.11,13144.01,8.39,0,0,120.80,6.93,130.97,1.62,108.74,7.10,112.46,7.34,0,2164.39,5.55,0.46,4,2458,65,87,23
11023,65.84,206.02,850,4213.68,7.54,13185.47,10.20,0,0,100.39,5.79,129.47,1.44,100.67,6.61,136.23,8.95,0,2845.38,5.04,0.45,3,2458,66,87,22
11024,65.93,206.19,851,4219.82,7.12,13196.26,8.02,0,0,125.62,6.88,136.75,1.53,100.02,6.22,112.65,7.00,0,3463.84,6.76,0.49,4,2458,67,87,21
11025,65.63,206.23,853,4200.08,8.99,13198.62,10.85,0,0,98.92,7.02,136.18,1.58,97.32,7.85,117.42,9.47,0,2097.73,4.56,0.36,3,2458,68,87,20
11026,66.01,206.06,854,4224.60,9.65,13187.86,8.99,0,0,100.16,5.87,132.75,1.54,126.96,8.49,118.22,7.90,0,3143.46,5.38,0.44,3,2458,69,87,19
11027,65.79,205.58,857,4210.41,7.56,13157.10,7.32,0,0,131.66,7.16,133.32,1.58,106.83,6.60,103.45,6.39,0,2981.91,5.78,0.50,4,2458,70,87,18
11028,66.19,206.15,859,4236.19,10.31,13193.68,10.58,0,0,87.57,5.77,130.19,1.51,120.52,9.06,123.71,9.30,0,2266.95,4.70,0.38,3,2458,71,87,17
11029,66.03,205.64,860,4225.86,8.23,13161.26,8.56,0,0,114.67,6.67,135.99,1.56,108.81,7.20,113.13,7.49,0,2912.57,4.69,0.46,3,2458,72,87,16
11030,65.77,205.93,861,4209.38,8.71,13179.23,8.96,0,0,110.61,7.25,136.65,1.57,102.09,7.60,104.99,7.82,0,1678.02,4.32,0.41,3,2458,73,87,15
11031,66.20,205.68,862,4237.12,7.35,13163.20,7.17,0,0,121.27,6.77,136.13,1.41,101.21,6.41,98.62,6.24,0,1454.71,4.94,0.49,4,2458,74,87,14
11032,65.81,205.48,864,4211.62,8.40,13150.80,7.19,0,0,114.61,5.69,133.46,1.47,130.23,7.38,111.50,6.32,0,2321.23,4.55,0.52,3,2458,75,87,13
11033,66.21,205.46,866,4237.66,8.35,13149.49,10.49,0,0,96.19,5.59,137.03,1.49,110.68,7.35,139.15,9.23,0,2351.48,3.99,0.44,3,2458,76,87,12
11034,66.33,206.10,867,4244.93,14.01,13190.69,12.33,0,0,73.15,6.03,137.18,1.59,131.05,12.33,115.35,10.85,0,3081.52,4.30,0.28,4,2458,77,87,11
11035,65.99,205.80,868,4223.22,7.94,13171.17,6.12,0,0,124.82,5.83,131.17,1.42,130.93,6.96,100.97,5.37,0,2751.70,5.32,0.56,4,2458,78,87,10
11036,65.73,205.84,869,4206.97,7.52,13173.84,8.48,0,0,112.05,6.59,136.25,1.44,98.24,6.56,110.84,7.40,0,1605.61,5.61,0.46,3,2458,79,87,9
11037,65.94,205.79,870,4220.05,12.11,13170.68,13.15,0,0,72.89,4.92,129.39,1.57,138.89,10.78,150.77,11.71,0,1837.25,3.29,0.34,3,2458,80,87,8
11038,65.61,205.30,871,4198.84,8.00,13139.28,8.01,0,0,111.61,5.35,133.11,1.49,128.76,7.05,129.00,7.07,0,3634.71,5.18,0.53,3,2458,81,87,7
11039,66.02,205.61,872,4225.38,8.39,13159.09,10.72,0,0,86.57,5.34,134.62,1.35,104.81,7.37,133.85,9.40,0,2713.71,3.71,0.42,3,2458,82,87,6
11040,66.20,205.70,874,4236.98,6.58,13165.00,6.03,0,0,139.82,6.40,135.27,1.42,110.58,5.75,101.24,5.26,0,3285.02,6.90,0.58,4,2458,83,87,5
11041,65.62,205.61,877,4199.79,10.54,13159.03,10.30,0,0,91.22,6.46,135.48,1.55,114.52,9.23,111.93,9.02,0,1307.66,3.25,0.36,3,2458,84,87,4
11042,65.86,205.70,879,4215.35,6.95,13164.57,8.13,0,0,136.89,7.84,134.36,1.65,93.16,6.06,108.91,7.08,0,1986.38,5.05,0.47,3,2458,85,87,3
11043,64.40,200.62,881,4121.51,16.10,12839.44,11.31,0,0,69.64,6.04,131.80,1.54,142.83,14.13,100.42,9.94,0,1793.27,3.19,0.26,4,2458,86,87,2
11044,63.57,205.24,882,4068.28,18.03,13135.15,18.88,0,0,46.41,5.80,135.93,1.40,111.09,15.80,116.33,16.54,0,1568.43,1.91,0.15,3,2458,87,87,1
11045,121.02,369.74,770,7745.54,15.42,23663.23,19.69,0,0,56.45,5.34,131.15,1.67,126.28,13.70,161.00,17.54,0,2830.20,2.94,0.21,5,2459,1,1,1
11046,156.96,470.56,770,10045.72,19.78,30115.79,19.35,0,0,45.40,4.72,128.70,1.50,146.88,17.81,144.25,17.26,0,1498.14,2.11,0.20,5,2460,1,4,4
11047,154.40,459.40,771,9881.42,11.87,29401.74,13.75,0,0,75.92,6.65,136.96,1.58,104.18,10.39,120.65,12.03,0,3318.04,4.23,0.27,3,2460,2,4,3
11048,152.75,458.75,773,9776.17,8.70,29360.30,9.25,0,0,91.62,5.91,134.30,1.33,103.73,7.60,110.24,8.08,0,2561.68,4.44,0.41,4,2460,3,4,2
11049,152.33,466.15,774,9749.15,8.53,29833.53,9.20,0,0,102.01,6.72,132.69,1.45,99.51,7.44,107.38,8.03,0,2295.02,4.20,0.40,3,2460,4,4,1
11050,382.69,6.58,770,24492.24,9.27,421.14,8.66,0,0,97.26,6.44,131.44,1.40,107.54,8.08,100.46,7.55,0,0.00,0.00,0.40,3,2461,1,1,1
11051,427.71,61.45,770,27373.75,11.79,3932.99,11.74,0,0,78.28,5.28,133.04,1.55,135.10,10.44,134.48,10.39,0,2472.73,3.88,0.35,3,2462,1,2,2
11052,423.39,55.24,771,27097.25,21.78,3535.42,21.32,0,0,47.53,4.96,133.59,1.77,161.93,19.72,158.95,19.17,0,3527.14,2.27,0.17,5,2462,2,2,1
11053,476.69,208.03,770,30508.40,22.11,13313.63,18.93,0,0,44.98,4.99,134.02,1.56,154.12,19.66,132.07,16.83,0,2492.93,2.20,0.16,3,2463,1,3,3
11054,477.53,207.03,771,30561.90,16.95,13250.01,19.60,0,0,43.59,5.29,136.15,1.30,107.49,14.87,124.24,17.18,0,2314.12,2.17,0.16,3,2463,2,3,2
11055,477.19,207.45,774,30540.20,17.80,13277.07,16.83,0,0,50.21,5.31,133.73,1.44,129.71,15.68,122.67,14.83,0,1309.79,2.26,0.19,2,2463,3,3,1
11056,19.83,234.83,771,1269.15,7.92,15029.14,9.37,0,0,116.93,5.83,129.59,1.69,122.63,7.00,145.09,8.29,0,2951.96,5.62,0.50,3,2464,1,1,1
11057,38.91,100.98,771,2490.23,19.84,6462.74,26.60,0,0,41.72,5.81,133.90,1.59,109.84,17.49,147.18,23.47,0,1795.75,2.09,0.12,5,2465,1,1,1
11058,196.62,461.14,771,12583.53,16.37,29513.21,12.08,0,0,58.31,5.55,132.97,1.34,132.40,14.34,97.70,10.59,0,1842.73,3.06,0.24,4,2466,1,2,2
11059,199.32,466.14,772,12756.56,11.74,29833.03,11.84,0,0,81.32,5.41,130.83,1.61,136.25,10.41,137.49,10.49,0,2167.66,3.92,0.36,4,2466,2,2,1
11060,256.77,443.74,771,16433.23,12.57,28399.29,13.24,0,0,61.65,6.43,132.52,1.26,92.53,10.93,97.46,11.51,0,2072.25,3.03,0.22,4,2467,1,2,2
11061,262.27,442.74,772,16785.24,8.89,28335.64,8.98,0,0,91.91,5.09,127.10,1.36,123.69,7.82,124.91,7.90,0,2115.14,4.72,0.46,2,2467,2,2,1
11062,485.97,312.02,771,31102.18,21.30,19969.26,15.49,0,0,45.01,4.91,132.08,1.36,150.54,18.82,109.55,13.66,0,1640.88,2.07,0.18,4,2468,1,7,7
11063,484.44,312.59,774,31004.16,12.31,20005.74,13.31,0,0,73.64,5.57,133.66,1.58,125.59,10.87,135.87,11.75,0,2856.04,4.20,0.31,2,2468,2,7,6
11064,484.29,312.14,775,30994.35,14.60,19976.92,15.52,0,0,55.62,5.11,134.29,1.39,122.67,12.87,130.37,13.68,0,2117.71,2.57,0.24,3,2468,3,7,5
11065,483.54,312.56,776,30946.62,15.54,20003.57,15.99,0,0,57.52,5.65,136.05,1.50,121.96,13.67,125.54,14.07,0,1460.52,2.19,0.22,2,2468,4,7,4
11066,484.43,312.81,777,31003.83,16.42,20019.56,16.03,0,0,51.77,5.58,133.17,1.37,117.36,14.40,114.53,14.05,0,1669.41,2.19,0.19,3,2468,5,7,3
11067,483.56,311.54,778,30947.69,14.32,19938.64,10.45,0,0,69.65,5.28,132.46,1.41,145.45,12.60,106.19,9.20,0,2774.20,3.86,0.32,4,2468,6,7,2
11068,484.72,311.32,779,31022.27,10.48,19924.80,9.51,0,0,86.62,6.73,134.32,1.38,103.57,9.12,93.98,8.28,0,2351.34,4.77,0.33,4,2468,7,7,1
11069,316.06,69.62,772,20227.62,25.39,4455.39,15.56,0,0,41.07,5.46,132.68,1.33,146.99,22.29,90.18,13.64,0,2185.45,2.03,0.14,4,2469,1,1,1
11070,341.94,493.06,772,21883.85,14.27,31555.80,12.41,0,0,73.95,7.01,136.94,1.59,115.82,12.47,100.69,10.84,0,1808.73,1.57,0.24,3,2470,1,1,1
11071,412.58,89.98,772,26404.95,9.62,5758.78,8.07,0,0,128.33,8.57,143.65,1.81,110.74,8.39,92.86,7.03,0,3860.16,6.38,0.40,4,2471,1,1,1
11072,488.86,67.88,772,31286.80,10.92,4344.07,12.75,0,0,64.87,4.56,127.30,1.28,119.84,9.64,139.91,11.25,0,920.27,2.98,0.34,3,2472,1,4,4
11073,492.33,66.34,773,31509.04,11.40,4245.74,10.21,0,0,89.39,6.02,133.47,1.59,130.49,10.03,116.87,8.99,0,3433.48,4.75,0.37,3,2472,2,4,3
11074,499.51,72.47,775,31968.74,18.12,4637.89,19.81,0,0,52.42,6.73,135.40,1.62,108.59,15.87,118.76,17.35,0,2438.34,2.37,0.15,3,2472,3,4,2
11075,501.89,67.79,776,32120.84,9.08,4338.74,9.46,0,0,99.99,6.00,129.57,1.52,116.56,7.97,121.52,8.31,0,2176.52,4.74,0.43,3,2472,4,4,1
11076,71.66,251.48,773,4586.46,11.33,16095.02,17.33,0,0,55.70,4.75,132.74,1.29,102.43,9.99,156.49,15.30,0,790.50,2.23,0.27,4,2473,1,1,1
